  SYNTACTIC SCORES:
  Labeled   attachment score: 14025 / 25096 * 100 = 55.89 %
  Unlabeled attachment score: 20407 / 25096 * 100 = 81.32 %
  Label accuracy score:       15824 / 25096 * 100 = 63.05 %
  Exact syntactic match:      340 / 2077 * 100 = 16.37 %

  SEMANTIC SCORES: 
  Labeled precision:          (6719 + 4729) / (8048 + 4799) * 100 = 89.11 %
  Labeled recall:             (6719 + 4729) / (9435 + 4799) * 100 = 80.43 %
  Labeled F1:                 84.55 
  Unlabeled precision:        (7402 + 4799) / (8048 + 4799) * 100 = 94.97 %
  Unlabeled recall:           (7402 + 4799) / (9435 + 4799) * 100 = 85.72 %
  Unlabeled F1:               90.11 
  Proposition precision:      2519 / 4799 * 100 = 52.49 %
  Proposition recall:         2519 / 4799 * 100 = 52.49 %
  Proposition F1:             52.49 
  Exact semantic match:       1043 / 2077 * 100 = 50.22 %

  OVERALL MACRO SCORES (Wsem = 0.50):
  Labeled macro precision:    72.50 %
  Labeled macro recall:       68.16 %
  Labeled macro F1:           70.26 %
  Unlabeled macro precision:  88.14 %
  Unlabeled macro recall:     83.52 %
  Unlabeled macro F1:         85.77 %
  Exact overall match:        336 / 2077 * 100 = 16.18 %

  OVERALL MICRO SCORES:
  Labeled micro precision:    (14025 + 6719 + 4729) / (25096 + 8048 + 4799) * 100 = 67.13 %
  Labeled micro recall:       (14025 + 6719 + 4729) / (25096 + 9435 + 4799) * 100 = 64.77 %
  Labeled micro F1:           65.93 
  Unlabeled micro precision:  (20407 + 7402 + 4799) / (25096 + 8048 + 4799) * 100 = 85.94 %
  Unlabeled micro recall:     (20407 + 7402 + 4799) / (25096 + 9435 + 4799) * 100 = 82.91 %
  Unlabeled micro F1:         84.40 

  ================================================================================

  Evaluation of the syntactic results in model/srlreplaced/upos/transformer/150cc3f4-dd72-493d-a6a1-f141a1782d75/predicted-props-conll09.tsv
  vs. gold standard model/srlreplaced/upos/transformer/150cc3f4-dd72-493d-a6a1-f141a1782d75/target-props-conll09.tsv:

  Legend: '.S' - the beginning of a sentence, '.E' - the end of a sentence

  Number of non-scoring tokens: 0

  The overall accuracy and its distribution over PPOSS tags

  -----------+-------+-------+------+-------+------+-------+-------
  Accuracy   | words | right |   %  | right |   %  | both  |   %
             |       | head  |      |  dep  |      | right |
  -----------+-------+-------+------+-------+------+-------+-------
  total      | 25096 | 20407 |  81% | 15824 |  63% | 14025 |  56%
  -----------+-------+-------+------+-------+------+-------+-------
  _          | 25096 | 20407 |  81% | 15824 |  63% | 14025 |  56%
  -----------+-------+-------+------+-------+------+-------+-------


  The overall error rate and its distribution over PPOSS tags

  -----------+-------+-------+------+-------+------+-------+-------
  Error      | words | head  |   %  |  dep  |   %  | both  |   %
  Rate       |       | err   |      |  err  |      | wrong |
  -----------+-------+-------+------+-------+------+-------+-------
  total      | 25096 |  4689 |  19% |  9272 |  37% |  2890 |  12%
  -----------+-------+-------+------+-------+------+-------+-------
  _          | 25096 |  4689 |  19% |  9272 |  37% |  2890 |  12%
  -----------+-------+-------+------+-------+------+-------+-------


  Precision and recall of DEPREL

  ----------------+------+---------+--------+------------+---------------
  deprel          | gold | correct | system | recall (%) | precision (%) 
  left            | 9153 |    8323 |   8909 |      90.93 |         93.42
  right           | 13866 |   13174 |  13507 |      95.01 |         97.53
  self            |    0 |       0 |      0 |        NaN |           NaN


  Precision and recall of binned HEAD distance

  ----------------+------+---------+--------+------------+---------------
  distance        | gold | correct | system | recall (%) | precision (%) 
  ----------------+------+---------+--------+------------+---------------
  to_root         | 2077 |    1674 |   2680 |      80.60 |         62.46
  1               | 9112 |    8458 |   9513 |      92.82 |         88.91
  2               | 5453 |    4731 |   5389 |      86.76 |         87.79
  3-6             | 6109 |    4860 |   5656 |      79.55 |         85.93
  7-...           | 2345 |    1565 |   1858 |      66.74 |         84.23


  Frame confusions (gold versus system; *...* marks the head token)

  277  *cop* / _ *cop* _ 
  244  ** root / ** 
   97  ** root / ** root _ 
   64  *cop* / _ _ *cop* _ 
   61  ** root / ** _ 
   54  *cop* / _ *cop* 
   52  *cop* / _ *cop* _ _ 
   48  ** root / ** punct 
   40  ** root / ** root punct 
   34  mark *advcl* obj / mark *advcl* _ 
   33  nsubj *root* obj punct / _ *root* _ punct 
   29  mark *xcomp* obj / mark *xcomp* _ 
   26  *flat* / *flat* list 
   23  *compound* / *compound* punct 
   22  mark nsubj *advcl* obj / mark _ *advcl* _ 
   21  nsubj *root* ccomp punct / _ *root* _ punct 
   20  *cop* / *cop* _ 
   19  *aux* / _ *aux* 
   18  cc *conj* obj / cc *conj* _ 
   17  ** root / ** _ root 
   17  nsubj cop *root* punct / cop *root* punct 
   16  mark *acl* obj / mark *acl* _ 
   16  ** root / ** root root 
   16  *compound* / compound *compound* 
   16  *root* obj punct / *root* _ punct 
   15  compound *compound* / *compound* 
   15  compound *list* / *list* 
   15  *acl* obl / *acl* _ 
   15  *cop* / _ _ *cop* 
   14  mark *xcomp* obj obl / mark *xcomp* _ _ 
   14  ** root / ** root _ punct 
   13  *cop* / _ _ *cop* _ _ 
   13  ** root / ** _ punct 
   13  *compound* / *compound* conj 
   13  ** root / ** root _ _ 
   13  *cop* / *cop* _ _ 
   13  punct *conj* / punct *conj* conj 
   13  nsubj *root* xcomp punct / _ *root* _ punct 
   12  cc *conj* / *conj* 
   12  *amod* / *amod* punct 
   11  compound *root* / *root* 
   11  det *obj* nmod / det *obj* _ 
   11  *flat* / *flat* appos 
   10  *compound* / *compound* flat 
   10  *list* / compound *list* 
   10  *root* punct / *root* 
   10  amod *root* punct / _ *root* punct 
   10  case det *obl* nmod / case det *obl* _ 
    9  *root* cop nsubj punct / *root* cop punct 
    9  *compound* / amod *compound* 
    9  *xcomp* obl / *xcomp* _ 
    9  *cop* / _ _ _ *cop* _ 
    9  mark nsubj *advcl* / mark _ *advcl* 
    9  *xcomp* advcl / *xcomp* _ 
    9  *advmod* obl / *advmod* 
    9  *compound* / *compound* nmod 
    9  nsubj aux *root* obj punct / _ aux *root* _ punct 
    9  nsubj *ccomp* obj / _ *ccomp* _ 
    9  cc *conj* obj obl / cc *conj* _ _ 
    9  det *nsubj* nmod / det *nsubj* _ 
    8  advmod *advmod* / *advmod* 
    8  det amod *obj* / det _ *obj* 
    8  *aux:pass* / _ *aux:pass* 
